,Field Section,1 secs,2 secs,3 secs,4 secs,5 secs,6 secs,7 secs,8 secs,9 secs,10 secs,11 secs,12 secs,13 secs,14 secs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6.0,0.10564977366685535,0.12097757871001286,0.1746663219402081,0.1974126513658474,0.17466632194020804,0.12097757871001291,0.06559061680303824,0.027834684208772442,0.009244709419990116,0.002402738192663789,0.0004886077571899516,7.772875942591018e-05,9.671442532388497e-06,0.9999989829167575
7,7.0,0.0016490753553664854,0.021362895094826882,0.12342057851016813,0.3103508871189713,0.34129462365904406,0.16422760545289516,0.03444412084427306,0.003126411982211419,0.00012176959011811483,2.018219228960838e-06,1.413129002703073e-08,4.155531474481222e-11,5.10702591327572e-14,1.0
8,8.0,0.00021917285925559992,0.010807828155709954,0.1328591393593968,0.4210096968821874,0.3528107317703745,0.0778480240357533,0.004384547835878383,6.0659203250490457e-05,1.9974495846231122e-07,1.532081128630125e-10,2.6978419498391304e-14,0.0,0.0,1.0
9,9.0,0.00024989996731368416,0.023864196363963266,0.295120282758059,0.5305876980387505,0.14465400306079979,0.005497946706071177,2.5959000600650484e-05,1.4103595624703757e-08,8.463230116717568e-13,0.0,0.0,0.0,0.0,1.0
10,10.0,0.032738299527431125,0.1730483493988173,0.37336898778637073,0.3097248230658052,0.09862132293517434,0.011945695273935297,0.0005433100361204035,9.155343774991387e-06,5.650587697747511e-08,1.2659140402604407e-10,1.0225154056797692e-13,0.0,0.0,1.0
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
