,Down,Position,Timeout Used,Def Endzone,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,T-12,T-13,T-14,T-15,T-16,T-17,T-18,T-19,T-20,T-21,T-22,T-23,T-24,T-25,T-26,T-27,T-28,T-29,T-30,T-31,T-32,T-33,T-34,T-35,T-36,T-37,T-38,T-39,T-40,T-41,T-42,T-43,T-44,T-45,T-46,T-47,T-48,T-49,T-50,T-51,T-52,T-53,T-54,T-55,T-56,T-57,T-58,T-59,T-60,T-61,T-62,T-63,T-64,T-65,T-66,T-67,T-68,T-69,T-70,T-71,T-72,T-73,T-74,T-75,T-76,T-77,T-78,T-79,T-80,T-81,T-82,T-83,T-84,T-85,T-86,T-87,T-88,T-89,T-90,T-91,T-92,T-93,T-94,T-95,T-96,T-97,T-98,T-99,Off Endzone,Sum
0,1.0,1.0,0.0,0.12132791902728451,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163623441700395
1,1.0,2.0,0.0,0.06517365828444484,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9438457392571603
2,1.0,3.0,0.0,0.03164895158540735,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9664752933009625
3,1.0,4.0,0.0,0.013851999552390009,0.03352470669903749,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9822030479669827
4,1.0,5.0,0.0,0.005451193653068605,0.01779695203301734,0.03352470669903749,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9915991941006786
5,1.0,6.0,0.0,0.0019251585841141832,0.008400805899321403,0.01779695203301734,0.03352470669903749,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9964739649310456
6,1.0,7.0,0.0,0.0006092135851814869,0.0035260350689544223,0.008400805899321403,0.01779695203301734,0.03352470669903749,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986840550010673
7,1.0,8.0,0.0,0.00017252806824173426,0.0013159449989326964,0.0035260350689544223,0.008400805899321403,0.01779695203301734,0.03352470669903749,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9995633144830602
8,1.0,9.0,0.0,4.368123560736984e-05,0.00043668551693975264,0.0013159449989326964,0.0035260350689544223,0.008400805899321403,0.01779695203301734,0.03352470669903749,0.056154260742839676,0.08363765582996052,0.11077066651411166,0.13045272214376646,0.1366117220258567,0.12721241759212532,0.10533612505044165,0.07755866563031122,0.05077929278998283,0.02956267866658191,0.015303774256030578,0.007044450517199818,0.0028832682279171795,0.0010493183642279469,0.0003395534853858351,9.769709748064237e-05,2.4993152695329535e-05,5.684853049747751e-06,1.1496582276171452e-06,2.0671009248740546e-07,3.304378648483208e-08,4.696178557139774e-09,5.933588065332174e-10,6.66497967927171e-11,6.655453965720426e-12,5.908606937055083e-13,4.6629367034256575e-14,3.219646771412954e-15,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9998711531673656
9,1.0,1.0,1.0,0.16135669659898466,0.09251422055133346,0.10430906423052838,0.10912310637181472,0.10592356209979048,0.09540026338420704,0.07972371873024531,0.06181675790845054,0.04447389941316926,0.029688209092400775,0.01838831686476028,0.010567649938994061,0.005634981353727531,0.0027879387674960565,0.0012798221298858659,0.0005451179580707732,0.0002154292191347551,7.899336747629881e-05,2.6874916236985236e-05,8.48345107895554e-06,2.4846507042930455e-06,6.751865527787615e-07,1.7023392706594365e-07,3.982268215185769e-08,8.64320959248488e-09,1.7405150654070667e-09,3.251895419609241e-10,5.637024180771277e-11,9.065970196786566e-12,1.3526957332032907e-12,1.872946242542639e-13,2.4091839634365897e-14,2.886579864025407e-15,3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9238664870175701
