,Down,Field Section,Timeout Used,T-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11
0,1.0,1.0,0.0,,,,,,,,,,,,
1,1.0,1.0,1.0,,,,,,,,,,,,
2,1.0,2.0,0.0,,,,,,,,,,,,
3,1.0,2.0,1.0,,,,,,,,,,,,
4,1.0,3.0,0.0,,,,,,,,,,,,
5,1.0,3.0,1.0,,,,,,,,,,,,
6,1.0,4.0,0.0,,,,,,,,,,,,
7,1.0,4.0,1.0,,,,,,,,,,,,
8,1.0,5.0,0.0,,,,,,,,,,,,
9,1.0,5.0,1.0,,,,,,,,,,,,
10,1.0,6.0,0.0,,,,,,,,,,,,
11,1.0,6.0,1.0,,,,,,,,,,,,
12,1.0,7.0,0.0,,,,,,,,,,,,
13,1.0,7.0,1.0,,,,,,,,,,,,
14,1.0,8.0,0.0,,,,,,,,,,,,
15,1.0,8.0,1.0,,,,,,,,,,,,
16,1.0,9.0,0.0,,,,,,,,,,,,
17,1.0,9.0,1.0,,,,,,,,,,,,
18,1.0,10.0,0.0,,,,,,,,,,,,
19,1.0,10.0,1.0,,,,,,,,,,,,
20,2.0,1.0,0.0,,,,,,,,,,,,
21,2.0,1.0,1.0,,,,,,,,,,,,
22,2.0,2.0,0.0,,,,,,,,,,,,
23,2.0,2.0,1.0,,,,,,,,,,,,
24,2.0,3.0,0.0,,,,,,,,,,,,
25,2.0,3.0,1.0,,,,,,,,,,,,
26,2.0,4.0,0.0,,,,,,,,,,,,
27,2.0,4.0,1.0,,,,,,,,,,,,
28,2.0,5.0,0.0,,,,,,,,,,,,
29,2.0,5.0,1.0,,,,,,,,,,,,
30,2.0,6.0,0.0,,,,,,,,,,,,
31,2.0,6.0,1.0,,,,,,,,,,,,
32,2.0,7.0,0.0,,,,,,,,,,,,
33,2.0,7.0,1.0,,,,,,,,,,,,
34,2.0,8.0,0.0,,,,,,,,,,,,
35,2.0,8.0,1.0,,,,,,,,,,,,
36,2.0,9.0,0.0,,,,,,,,,,,,
37,2.0,9.0,1.0,,,,,,,,,,,,
38,2.0,10.0,0.0,,,,,,,,,,,,
39,2.0,10.0,1.0,,,,,,,,,,,,
40,3.0,1.0,0.0,,,,,,,,,,,,
41,3.0,1.0,1.0,,,,,,,,,,,,
42,3.0,2.0,0.0,,,,,,,,,,,,
43,3.0,2.0,1.0,,,,,,,,,,,,
44,3.0,3.0,0.0,,,,,,,,,,,,
45,3.0,3.0,1.0,,,,,,,,,,,,
46,3.0,4.0,0.0,,,,,,,,,,,,
47,3.0,4.0,1.0,,,,,,,,,,,,
48,3.0,5.0,0.0,,,,,,,,,,,,
49,3.0,5.0,1.0,,,,,,,,,,,,
50,3.0,6.0,0.0,,,,,,,,,,,,
51,3.0,6.0,1.0,,,,,,,,,,,,
52,3.0,7.0,0.0,,,,,,,,,,,,
53,3.0,7.0,1.0,,,,,,,,,,,,
54,3.0,8.0,0.0,,,,,,,,,,,,
55,3.0,8.0,1.0,,,,,,,,,,,,
56,3.0,9.0,0.0,,,,,,,,,,,,
57,3.0,9.0,1.0,,,,,,,,,,,,
58,3.0,10.0,0.0,,,,,,,,,,,,
59,3.0,10.0,1.0,,,,,,,,,,,,
